#Wavelength Good  SNR  Sigma  LineFlux  Cont  SBR  EW_Obs  Score
5259  1.000000  7.089133  3.568884  0.000000  0.000000  7.089133  38.650874 4
3879  1.000000  3.500245  2.308415  0.000000  0.000000  3.500245  14.637472 2
4369  1.000000  8.228888  2.084150  0.000000  0.000000  8.228888  15.860329 6
3677  1.000000  4.307626  3.370038  0.000000  0.000000  4.307626  18.410444 3
4240  1.000000  6.347423  2.523081  0.000000  0.000000  6.347423  30.250920 3
5044  1.000000  7.032697  3.009857  0.000000  0.000000  7.032697  31.874047 5
5158  1.000000  8.034956  3.646427  0.000000  0.000000  8.034956  48.480091 7
4804  1.000000  3.354737  3.637820  0.000000  0.000000  3.354737  23.658959 2
3941  1.000000  5.764367  3.547110  0.000000  0.000000  5.764367  26.362014 4
4066  1.000000  6.784566  3.560734  0.000000  0.000000  6.784566  24.560927 5
5258  1.000000  5.996030  2.750122  0.000000  0.000000  5.996030  20.824009 3
3607  1.000000  4.546707  4.367820  0.000000  0.000000  4.546707  22.198145 3
4856  1.000000  5.377275  2.374049  0.000000  0.000000  5.377275  25.966211 4
3682  1.000000  5.671113  3.303374  0.000000  0.000000  5.671113  23.395488 4
3619  1.000000  5.618389  1.984080  0.000000  0.000000  5.618389  14.924038 3
3763  1.000000  5.780550  4.341233  0.000000  0.000000  5.780550  23.653643 5
5396  1.000000  5.411991  3.542901  0.000000  0.000000  5.411991  40.716766 5
3615  1.000000  5.201290  3.967676  0.000000  0.000000  5.201290  21.143780 2
4263  1.000000  4.116689  3.253081  0.000000  0.000000  4.116689  18.275115 2
4488  1.000000  10.481496  2.817889  0.000000  0.000000  10.481496  30.005044 11
3527  1.000000  7.531666  1.680759  0.000000  0.000000  7.531666  23.947076 2
3586  1.000000  5.137472  3.530640  0.000000  0.000000  5.137472  17.850949 4
3664  1.000000  5.598907  3.623645  0.000000  0.000000  5.598907  25.598392 3
5214  1.000000  3.695932  2.438109  0.000000  0.000000  3.695932  18.754959 2
5109  1.000000  5.899281  2.531733  0.000000  0.000000  5.899281  23.576932 4
4949  1.000000  8.506634  2.586099  0.000000  0.000000  8.506634  30.109640 7
4436  1.000000  11.217029  1.850144  0.000000  0.000000  11.217029  26.585939 8
5040  1.000000  3.812381  3.058490  0.000000  0.000000  3.812381  15.266623 2
4587  1.000000  6.331069  2.778836  0.000000  0.000000  6.331069  20.495798 3
3541  1.000000  5.670248  2.658766  0.000000  0.000000  5.670248  21.337346 4
3743  1.000000  5.203122  3.151929  0.000000  0.000000  5.203122  29.900486 5
3879  1.000000  10.153945  2.231667  0.000000  0.000000  10.153945  14.511868 6
3591  1.000000  6.033932  2.336100  0.000000  0.000000  6.033932  18.496868 3
4689  1.000000  7.719180  1.592356  0.000000  0.000000  7.719180  21.572091 3
4684  1.000000  5.804842  3.570232  0.000000  0.000000  5.804842  20.243547 4
