#Good  SNR  Sigma  LineFlux  Cont  SBR  EW_Obs  Score
1  4.437288  3.736280  0.000000  0.000000  4.437288  17.968704  4.073645
1  6.194203  3.593376  0.000000  0.000000  6.194203  36.709015  6.020935
1  4.825156  2.768895  0.000000  0.000000  4.825156  13.690400  2.905447
1  5.757077  3.280528  0.000000  0.000000  5.757077  41.965936  6.025826
1  5.510849  3.650950  0.000000  0.000000  5.510849  20.102056  4.322349
1  6.631711  3.574585  0.000000  0.000000  6.631711  37.135759  5.522875
1  4.619428  2.796764  0.000000  0.000000  4.619428  38.403693  3.593759
1  5.184104  2.782937  0.000000  0.000000  5.184104  22.632231  3.036625
1  11.056875  1.555047  0.000000  0.000000  11.056875  25.039089  2.864988
1  7.190387  1.730160  0.000000  0.000000  7.190387  23.229504  2.986775
1  3.885891  2.119103  0.000000  0.000000  3.885891  11.239942  2.312719
1  4.598820  2.889441  0.000000  0.000000  4.598820  22.824627  3.036679
1  6.997183  3.600712  0.000000  0.000000  6.997183  51.323098  6.418328
1  7.498026  2.520723  0.000000  0.000000  7.498026  33.237455  6.767580
1  3.847519  3.354070  0.000000  0.000000  3.847519  16.393769  2.919222
1  4.143534  3.852030  0.000000  0.000000  4.143534  13.845669  3.077920
1  6.161605  2.118493  0.000000  0.000000  6.161605  15.183902  2.076232
1  3.384676  3.087845  0.000000  0.000000  3.384676  20.203185  2.624080
1  7.811005  2.269638  0.000000  0.000000  7.811005  23.890048  6.860336
1  6.638628  1.991832  0.000000  0.000000  6.638628  11.101347  3.951593
1  7.602770  1.713587  0.000000  0.000000  7.602770  29.097860  2.884238
1  6.041796  2.991520  0.000000  0.000000  6.041796  28.482270  5.701973
1  4.888800  2.686910  0.000000  0.000000  4.888800  24.032349  3.988713
1  5.810220  2.376115  0.000000  0.000000  5.810220  32.252536  3.763996
1  6.721565  1.919606  0.000000  0.000000  6.721565  15.505988  2.196715
1  5.683998  2.371649  0.000000  0.000000  5.683998  18.412954  2.995907
1  5.308273  2.894376  0.000000  0.000000  5.308273  28.439250  4.999409
1  5.350095  3.254487  0.000000  0.000000  5.350095  27.818824  5.589211
1  4.994431  3.975326  0.000000  0.000000  4.994431  18.429486  2.703962
1  4.297100  3.108050  0.000000  0.000000  4.297100  24.081572  3.459017
1  4.152244  2.556555  0.000000  0.000000  4.152244  16.052596  2.009157
1  5.020749  2.440715  0.000000  0.000000  5.020749  13.773823  2.884735
1  5.723632  2.111965  0.000000  0.000000  5.723632  16.493392  2.634752
1  7.473247  1.860457  0.000000  0.000000  7.473247  13.729516  2.656787
1  5.742671  2.392173  0.000000  0.000000  5.742671  20.342975  4.680383
1  6.033255  4.078687  0.000000  0.000000  6.033255  38.924035  4.262616
1  5.251066  3.031574  0.000000  0.000000  5.251066  19.278033  2.862829
1  7.324281  2.722132  0.000000  0.000000  7.324281  32.062272  4.998505
1  8.599460  1.493695  0.000000  0.000000  8.599460  22.408295  2.839191
1  5.744384  2.192787  0.000000  0.000000  5.744384  12.388206  2.137315
1  7.498140  1.782092  0.000000  0.000000  7.498140  14.111319  2.745645
1  4.526815  2.837903  0.000000  0.000000  4.526815  24.404058  3.174523
1  5.431203  3.224465  0.000000  0.000000  5.431203  29.477228  3.429225
1  4.992269  3.146765  0.000000  0.000000  4.992269  24.816458  4.240737
1  9.583693  1.795950  0.000000  0.000000  9.583693  21.947877  4.039491
1  5.347028  3.168723  0.000000  0.000000  5.347028  18.844537  3.342804
1  5.662688  3.769332  0.000000  0.000000  5.662688  34.302409  4.262108
1  7.626835  2.889301  0.000000  0.000000  7.626835  29.036553  5.940617
1  4.002589  2.684962  0.000000  0.000000  4.002589  16.634474  2.698499
1  6.146539  2.846471  0.000000  0.000000  6.146539  57.063755  3.718437
1  4.472487  3.342258  0.000000  0.000000  4.472487  18.501462  3.315906
1  6.836883  2.511523  0.000000  0.000000  6.836883  14.265006  2.246821
1  5.627378  3.237626  0.000000  0.000000  5.627378  26.516386  5.734046
1  5.015752  2.984347  0.000000  0.000000  5.015752  17.179077  2.757431
1  4.854665  2.593713  0.000000  0.000000  4.854665  18.505577  2.951440
1  4.503973  2.948467  0.000000  0.000000  4.503973  15.640070  3.039513
1  5.263941  1.823461  0.000000  0.000000  5.263941  25.866297  3.593004
1  4.568516  3.838324  0.000000  0.000000  4.568516  20.979045  2.717179
1  6.259892  1.823898  0.000000  0.000000  6.259892  15.995625  2.829106
1  4.621791  2.933532  0.000000  0.000000  4.621791  16.422292  3.669874
1  7.263290  2.134112  0.000000  0.000000  7.263290  16.534962  2.470137
1  9.245297  2.696498  0.000000  0.000000  9.245297  25.151892  4.773852
1  4.176605  2.251195  0.000000  0.000000  4.176605  21.796312  2.562068
1  7.264877  2.882181  0.000000  0.000000  7.264877  27.051630  5.713082
1  3.970482  2.600704  0.000000  0.000000  3.970482  14.844204  2.533901
1  7.622510  2.056043  0.000000  0.000000  7.622510  15.376664  3.630786
1  5.516705  3.352152  0.000000  0.000000  5.516705  40.003771  3.908365
1  6.729298  2.543535  0.000000  0.000000  6.729298  25.807076  4.649727
1  7.265574  1.843328  0.000000  0.000000  7.265574  16.308317  4.273745
1  5.987579  3.590166  0.000000  0.000000  5.987579  43.270790  5.390894
1  7.004026  3.271681  0.000000  0.000000  7.004026  21.176822  4.083605
1  3.863231  2.955813  0.000000  0.000000  3.863231  25.400623  2.359268
1  4.160165  2.645036  0.000000  0.000000  4.160165  21.361068  2.958651
1  5.169789  3.880274  0.000000  0.000000  5.169789  23.020442  4.568603
1  5.131754  2.060036  0.000000  0.000000  5.131754  20.390254  4.227116
1  4.895173  3.366580  0.000000  0.000000  4.895173  21.841283  4.357542
1  4.350410  2.773297  0.000000  0.000000  4.350410  26.174935  3.226639
1  6.760557  2.107311  0.000000  0.000000  6.760557  26.485767  5.761006
1  4.719269  2.980849  0.000000  0.000000  4.719269  17.870895  3.155275
1  4.359002  2.604927  0.000000  0.000000  4.359002  17.230394  2.271375
1  7.113983  3.816163  0.000000  0.000000  7.113983  45.678889  6.453396
1  4.082225  2.260196  0.000000  0.000000  4.082225  10.577437  2.106726
1  4.916707  2.320935  0.000000  0.000000  4.916707  14.526922  2.219042
